Metric,Value,Dataset,Model Config
Recall,94,Coolreader,LSTM (joint features)
F1 score,96,Coolreader,LSTM (joint features)
AUC,96,Coolreader,LSTM (joint features)
Precision,89,Crosswords,LSTM (local features)
Recall,89,Crosswords,LSTM (local features)
F1 score,89,Crosswords,LSTM (local features)
AUC,96,Crosswords,LSTM (local features)
Precision,89,Crosswords,LSTM (global features)
Recall,83,Crosswords,LSTM (global features)
F1 score,85,Crosswords,LSTM (global features)
AUC,86,Crosswords,LSTM (global features)
Precision,89,Crosswords,LSTM (joint features)
Recall,83,Crosswords,LSTM (joint features)
F1 score,85,Crosswords,LSTM (joint features)
AUC,91,Crosswords,LSTM (joint features)
Precision,100,Deskclock,LSTM (local features)
Recall,100,Deskclock,LSTM (local features)
F1 score,100,Deskclock,LSTM (local features)
AUC,100,Deskclock,LSTM (local features)
Precision,100,Deskclock,LSTM (global features)
Recall,92,Deskclock,LSTM (global features)
F1 score,94,Deskclock,LSTM (global features)
AUC,90,Deskclock,LSTM (global features)
Precision,100,Deskclock,LSTM (joint features)
Recall,92,Deskclock,LSTM (joint features)
F1 score,94,Deskclock,LSTM (joint features)
AUC,84,Deskclock,LSTM (joint features)
Precision,93,Email,LSTM (local features)
Recall,95,Email,LSTM (local features)
F1 score,93,Email,LSTM (local features)
AUC,93,Email,LSTM (local features)
Precision,95,Email,LSTM (global features)
Recall,90,Email,LSTM (global features)
F1 score,92,Email,LSTM (global features)
AUC,93,Email,LSTM (global features)
Precision,94,Email,LSTM (joint features)
Recall,93,Email,LSTM (joint features)
F1 score,93,Email,LSTM (joint features)
AUC,96,Email,LSTM (joint features)
Precision,83,Fbreader,LSTM (local features)
Recall,82,Fbreader,LSTM (local features)
F1 score,82,Fbreader,LSTM (local features)
AUC,96,Fbreader,LSTM (local features)
Precision,85,Fbreader,LSTM (global features)
Recall,83,Fbreader,LSTM (global features)
F1 score,84,Fbreader,LSTM (global features)
AUC,90,Fbreader,LSTM (global features)
Precision,82,Fbreader,LSTM (joint features)
Recall,86,Fbreader,LSTM (joint features)
F1 score,83,Fbreader,LSTM (joint features)
AUC,95,Fbreader,LSTM (joint features)
Precision,83,Gallery2,LSTM (local features)
Recall,88,Gallery2,LSTM (local features)
F1 score,84,Gallery2,LSTM (local features)
AUC,100,Gallery2,LSTM (local features)
Precision,83,Gallery2,LSTM (global features)
Recall,87,Gallery2,LSTM (global features)
F1 score,84,Gallery2,LSTM (global features)
AUC,94,Gallery2,LSTM (global features)
Precision,80,Gallery2,LSTM (joint features)
Recall,89,Gallery2,LSTM (joint features)
F1 score,83,Gallery2,LSTM (joint features)
AUC,95,Gallery2,LSTM (joint features)
Precision,89,K9,LSTM (local features)
Recall,100,K9,LSTM (local features)
F1 score,94,K9,LSTM (local features)
AUC,92,K9,LSTM (local features)
Precision,88,K9,LSTM (global features)
Recall,97,K9,LSTM (global features)
F1 score,91,K9,LSTM (global features)
AUC,92,K9,LSTM (global features)
Precision,88,K9,LSTM (joint features)
Recall,98,K9,LSTM (joint features)
F1 score,92,K9,LSTM (joint features)
AUC,95,K9,LSTM (joint features)
Precision,93,Keepassdroid,LSTM (local features)
Recall,98,Keepassdroid,LSTM (local features)
F1 score,94,Keepassdroid,LSTM (local features)
AUC,95,Keepassdroid,LSTM (local features)
Precision,90,Keepassdroid,LSTM (global features)
Recall,91,Keepassdroid,LSTM (global features)
F1 score,89,Keepassdroid,LSTM (global features)
AUC,90,Keepassdroid,LSTM (global features)
Precision,88,Keepassdroid,LSTM (joint features)
Recall,89,Keepassdroid,LSTM (joint features)
F1 score,88,Keepassdroid,LSTM (joint features)
AUC,89,Keepassdroid,LSTM (joint features)
Precision,87,Mms,LSTM (local features)
Recall,85,Mms,LSTM (local features)
F1 score,85,Mms,LSTM (local features)
AUC,92,Mms,LSTM (local features)
Precision,87,Mms,LSTM (global features)
Recall,88,Mms,LSTM (global features)
F1 score,87,Mms,LSTM (global features)
AUC,94,Mms,LSTM (global features)
Precision,87,Mms,LSTM (joint features)
Recall,92,Mms,LSTM (joint features)
F1 score,89,Mms,LSTM (joint features)
AUC,95,Mms,LSTM (joint features)
Precision,96,Mustard,LSTM (local features)
Recall,99,Mustard,LSTM (local features)
F1 score,97,Mustard,LSTM (local features)
AUC,100,Mustard,LSTM (local features)
Precision,97,Mustard,LSTM (global features)
Recall,93,Mustard,LSTM (global features)
F1 score,94,Mustard,LSTM (global features)
AUC,93,Mustard,LSTM (global features)
Precision,95,Mustard,LSTM (joint features)
Recall,99,Mustard,LSTM (joint features)
F1 score,96,Mustard,LSTM (joint features)
AUC,98,Mustard,LSTM (joint features)
Precision,93,Quicksearchbox,LSTM (local features)
Recall,90,Quicksearchbox,LSTM (local features)
F1 score,88,Quicksearchbox,LSTM (local features)
AUC,98,Quicksearchbox,LSTM (local features)
Precision,89,Quicksearchbox,LSTM (global features)
Recall,77,Quicksearchbox,LSTM (global features)
F1 score,82,Quicksearchbox,LSTM (global features)
AUC,88,Quicksearchbox,LSTM (global features)
Precision,89,Quicksearchbox,LSTM (joint features)
Recall,79,Quicksearchbox,LSTM (joint features)
F1 score,82,Quicksearchbox,LSTM (joint features)
AUC,93,Quicksearchbox,LSTM (joint features)
Precision,33,Firefox,LSTM (local features)
Recall,15,Firefox,LSTM (local features)
F1 score,20,Firefox,LSTM (local features)
AUC,57,Firefox,LSTM (local features)
Precision,30,Firefox,LSTM (global features)
Recall,49,Firefox,LSTM (global features)
F1 score,37,Firefox,LSTM (global features)
AUC,89,Firefox,LSTM (global features)
Precision,28,Firefox,LSTM (joint features)
Recall,48,Firefox,LSTM (joint features)
F1 score,35,Firefox,LSTM (joint features)
AUC,88,Firefox,LSTM (joint features)
Precision,83,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (local features)
Recall,87,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (local features)
F1 score,85,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (local features)
AUC,92,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (local features)
Precision,87,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (global features)
Recall,87,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (global features)
F1 score,87,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (global features)
AUC,93,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (global features)
Precision,88,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (joint features)
Recall,86,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (joint features)
F1 score,87,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (joint features)
AUC,94,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (joint features)
Precision,87,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (local features) + RF
Recall,89,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (local features) + RF
F1 score,88,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (local features) + RF
AUC,93,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (local features) + RF
Precision,89,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (global features) + RF
Recall,89,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (global features) + RF
F1 score,89,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (global features) + RF
AUC,94,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (global features) + RF
Precision,90,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (joint features) + RF
Recall,88,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (joint features) + RF
F1 score,89,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (joint features) + RF
AUC,94,"AnkiAndroid, Browser, Calendar, Camera, Connectbot, Contacts, Coolreader, Crosswords, Deskclock, Email, Fbreader, Gallery2, K9, Keepassdroid, Mms, Mustard, Quicksearchbox",LSTM (joint features) + RF
