Metric,Value,Dataset,Model Config
Precision,100,Calendar,LSTM (local features)
Recall,100,Calendar,LSTM (local features)
F1 score,100,Calendar,LSTM (local features)
AUC,96,Calendar,LSTM (local features)
Precision,96,Calendar,LSTM (global features)
Recall,94,Calendar,LSTM (global features)
F1 score,94,Calendar,LSTM (global features)
AUC,97,Calendar,LSTM (global features)
Precision,100,Calendar,LSTM (joint features)
Recall,100,Calendar,LSTM (joint features)
F1 score,100,Calendar,LSTM (joint features)
AUC,100,Calendar,LSTM (joint features)
Precision,88,Camera,LSTM (local features)
Recall,100,Camera,LSTM (local features)
F1 score,93,Camera,LSTM (local features)
AUC,94,Camera,LSTM (local features)
Precision,92,Camera,LSTM (global features)
Recall,98,Camera,LSTM (global features)
F1 score,94,Camera,LSTM (global features)
AUC,97,Camera,LSTM (global features)
Precision,100,Camera,LSTM (joint features)
Recall,100,Camera,LSTM (joint features)
F1 score,100,Camera,LSTM (joint features)
AUC,100,Camera,LSTM (joint features)
Precision,100,Connectbot,LSTM (local features)
Recall,97,Connectbot,LSTM (local features)
F1 score,98,Connectbot,LSTM (local features)
AUC,96,Connectbot,LSTM (local features)
Precision,93,Connectbot,LSTM (global features)
Recall,93,Connectbot,LSTM (global features)
F1 score,93,Connectbot,LSTM (global features)
AUC,97,Connectbot,LSTM (global features)
Precision,97,Connectbot,LSTM (joint features)
Recall,93,Connectbot,LSTM (joint features)
F1 score,93,Connectbot,LSTM (joint features)
AUC,95,Connectbot,LSTM (joint features)
Precision,96,Contacts,LSTM (local features)
Recall,94,Contacts,LSTM (local features)
F1 score,95,Contacts,LSTM (local features)
AUC,90,Contacts,LSTM (local features)
Precision,89,Contacts,LSTM (global features)
Recall,94,Contacts,LSTM (global features)
F1 score,93,Contacts,LSTM (global features)
AUC,97,Contacts,LSTM (global features)
Precision,97,Contacts,LSTM (joint features)
Recall,93,Contacts,LSTM (joint features)
F1 score,93,Contacts,LSTM (joint features)
AUC,95,Contacts,LSTM (joint features)
Precision,100,Coolreader,LSTM (local features)
Recall,94,Coolreader,LSTM (local features)
F1 score,96,Coolreader,LSTM (local features)
AUC,97,Coolreader,LSTM (local features)
Precision,100,Coolreader,LSTM (global features)
Recall,94,Coolreader,LSTM (global features)
F1 score,96,Coolreader,LSTM (global features)
AUC,96,Coolreader,LSTM (global features)
Precision,100,Coolreader,LSTM (joint features)
