Metric,Value,Dataset,Model Config
top-20 precision,71,Ffmpeg,BiLSTM
top-20 recall,10,Ffmpeg,BiLSTM
top-30 precision,67,Ffmpeg,BiLSTM
top-30 recall,14,Ffmpeg,BiLSTM
top-40 precision,60,Ffmpeg,BiLSTM
top-40 recall,17,Ffmpeg,BiLSTM
top-50 precision,52,Ffmpeg,BiLSTM
top-50 recall,18,Ffmpeg,BiLSTM
top-100 precision,46,Ffmpeg,BiLSTM
top-100 recall,32,Ffmpeg,BiLSTM
top-150 precision,39,Ffmpeg,BiLSTM
top-150 recall,41,Ffmpeg,BiLSTM
top-10 precision,80,LibTiff,BiLSTM
top-10 recall,11,LibTiff,BiLSTM
top-20 precision,75,LibTiff,BiLSTM
top-20 recall,21,LibTiff,BiLSTM
top-30 precision,73,LibTiff,BiLSTM
top-30 recall,30,LibTiff,BiLSTM
top-40 precision,60,LibTiff,BiLSTM
top-40 recall,33,LibTiff,BiLSTM
top-50 precision,62,LibTiff,BiLSTM
top-50 recall,42,LibTiff,BiLSTM
top-100 precision,41,LibTiff,BiLSTM
top-100 recall,56,LibTiff,BiLSTM
top-150 precision,33,LibTiff,BiLSTM
top-150 recall,68,LibTiff,BiLSTM
top-10 precision,100,LibPNG,BiLSTM
top-10 recall,30,LibPNG,BiLSTM
top-20 precision,95,LibPNG,BiLSTM
top-20 recall,58,LibPNG,BiLSTM
top-30 precision,87,LibPNG,BiLSTM
top-30 recall,79,LibPNG,BiLSTM
top-40 precision,68,LibPNG,BiLSTM
top-40 recall,82,LibPNG,BiLSTM
top-50 precision,54,LibPNG,BiLSTM
top-50 recall,82,LibPNG,BiLSTM
top-100 precision,33,LibPNG,BiLSTM
top-100 recall,100,LibPNG,BiLSTM
top-150 precision,22,LibPNG,BiLSTM
top-150 recall,100,LibPNG,BiLSTM
top-10 precision,56,LibPNG (no labels),BiLSTM
top-10 recall,15,LibPNG (no labels),BiLSTM
top-50 precision,55,LibPNG (no labels),BiLSTM
top-50 recall,58,LibPNG (no labels),BiLSTM
top-100 precision,35,LibPNG (no labels),BiLSTM
top-100 recall,82,LibPNG (no labels),BiLSTM
top-10 precision,30,LibPNG (no labels),BiLSTM
top-10 recall,34,LibPNG (no labels),BiLSTM
top-50 precision,30,LibPNG (no labels),BiLSTM
top-50 recall,34,LibPNG (no labels),BiLSTM
top-100 precision,30,LibPNG (no labels),BiLSTM
top-100 recall,64,LibPNG (no labels),BiLSTM
top-10 precision,32,LibPNG (no labels),BiLSTM
top-10 recall,16,LibPNG (no labels),BiLSTM
top-50 precision,19,LibTIFF (no labels),BiLSTM
top-50 recall,48,LibTIFF (no labels),BiLSTM
top-100 precision,15,LibTIFF (no labels),BiLSTM
top-100 recall,75,LibTIFF (no labels),BiLSTM
top-10 precision,32,LibTIFF (no labels),BiLSTM
top-10 recall,16,LibTIFF (no labels),BiLSTM
top-50 precision,19,LibTIFF (no labels),BiLSTM
top-50 recall,48,LibTIFF (no labels),BiLSTM
top-100 precision,15,LibTIFF (no labels),BiLSTM
top-100 recall,75,LibTIFF (no labels),BiLSTM
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
